hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_hook_left_main_001,0.232920747,0.467571424,0.29575173,0.267887252,0.218891685,0.246469054,0.072939839,0.076842484,0.04768869,0.400901316,0.866361239,0.292946714,0.271273773,Main
p04_hook_left_main_002,0.218483261,0.437854206,0.253801111,0.277856777,0.160983424,0.221349246,0.066371558,0.066426144,0.047626557,0.392395561,0.760712246,0.266706413,0.281956672,Post
p04_hook_left_main_003,0.207512052,0.44346033,0.259522614,0.240716698,0.178267646,0.18884555,0.069803704,0.068323164,0.047633783,0.349555064,0.745267033,0.25611655,0.270313424,Pre
p04_hook_left_main_004,0.208714913,0.428706161,0.250398471,0.231102939,0.165811868,0.185480676,0.068031824,0.066894613,0.047626153,0.346808287,0.712020645,0.248276305,,
p04_hook_left_main_005,0.235346652,0.445024657,0.244725116,0.273502053,0.161679897,0.237278177,0.066286868,0.065753068,0.047641072,0.394954441,0.772837698,0.26949463,,
p04_hook_left_main_006,0.210811709,0.478659815,0.28418455,0.283033091,0.198041465,0.235134779,0.074587571,0.072135798,0.047711803,0.427050412,0.811747343,0.286646585,,
p04_hook_left_main_007,0.220637036,0.433983918,0.28405958,0.287071812,0.199671633,0.237532135,0.072985436,0.073466853,0.047640483,0.408396191,0.819465268,0.284390846,,
p04_hook_left_main_008,0.236143281,0.428805379,0.257668167,0.25573885,0.174696117,0.235257407,0.06793842,0.066899417,0.047628801,0.363750878,0.798754788,0.268994461,,
p04_hook_left_main_009,0.231150704,0.424076137,0.241347455,0.253940625,0.171244872,0.237535089,0.065867158,0.067825125,0.04769013,0.35128935,0.790056642,0.264545681,,
p04_hook_left_main_010,0.235431513,0.448429982,0.267693563,0.219207568,0.192006441,0.242946374,0.069304276,0.068734878,0.047813302,0.331227142,0.835745397,0.270564999,,
p04_hook_left_main_011,0.226497071,0.426990107,0.286582967,0.272983017,0.193186265,0.239322763,0.071935434,0.072165174,0.047660392,0.380602647,0.833300525,0.281132834,,
p04_hook_left_main_012,0.220823955,0.44569962,0.304226597,0.269752209,0.20343455,0.263134295,0.070123146,0.070833078,0.047866508,0.399222537,0.871687749,0.291946603,,
p04_hook_left_main_013,0.221035349,0.477562528,0.289878186,0.268724568,0.208666281,0.253098224,0.072706941,0.073544807,0.047676697,0.392443469,0.86889354,0.291053091,,
p04_hook_left_main_014,0.227589775,0.440238993,0.240469089,0.256987543,0.169931962,0.247384985,0.066142431,0.065988797,0.04767573,0.344836161,0.814312933,0.26779121,,
p04_hook_left_main_015,0.223273351,0.462271216,0.301272601,0.266026503,0.204847193,0.261893489,0.07301142,0.07466345,0.047874478,0.393773635,0.873688025,0.292602201,,
p04_hook_left_main_016,0.214487781,0.457019658,0.298249897,0.255726587,0.186717927,0.209445417,0.067933001,0.06781273,0.047624163,0.359696749,0.831804887,0.274974306,,
p04_hook_left_main_017,0.227937796,0.450166891,0.320879826,0.271331071,0.201561258,0.262185279,0.070677093,0.072422827,0.04770903,0.423061852,0.867406251,0.296255411,,
p04_hook_left_main_018,0.217242778,0.463385224,0.303978918,0.21675027,0.198813381,0.193837846,0.069770372,0.069174418,0.047635828,0.329388848,0.823910382,0.267975969,,
p04_hook_left_main_019,0.215241886,0.454711046,0.263718181,0.216768311,0.190978272,0.163825155,0.070124609,0.069400492,0.04762979,0.306829823,0.766640689,0.25212508,,
p04_hook_left_main_020,0.228982227,0.457324092,0.269257279,0.248656394,0.178179551,0.254562474,0.065967368,0.067235125,0.048010022,0.374457704,0.827178199,0.276569684,,
p04_hook_left_main_021,0.218299473,0.448520154,0.266387305,0.263270946,0.16843698,0.244989206,0.065633562,0.065707796,0.047837936,0.375454223,0.812362633,0.27339923,,
p04_hook_left_main_022,0.214913388,0.464936978,0.271738002,0.245201702,0.188844818,0.225246391,0.069459635,0.069180835,0.048060729,0.348661024,0.825197262,0.272111897,,
p04_hook_left_main_023,0.208186026,0.438055774,0.276289003,0.260434255,0.173138388,0.256203713,0.065833919,0.065639594,0.047677513,0.380142499,0.818440845,0.275546874,,
p04_hook_left_main_024,0.218190069,0.462192891,0.286831124,0.227162794,0.19954379,0.194582588,0.0698439,0.069447364,0.047652071,0.334114587,0.816735434,0.267558671,,
p04_hook_left_main_025,0.172180288,0.427129648,0.242339776,0.277537479,0.170676618,0.190051457,0.070594553,0.072267434,0.04763471,0.428300771,0.647785245,0.253316542,,
p04_hook_left_main_026,0.214207194,0.445375067,0.283825851,0.257727331,0.176722742,0.247671354,0.064994884,0.065712434,0.047832537,0.380855154,0.825643614,0.277007724,,
p04_hook_left_main_027,0.21890516,0.443109635,0.336012701,0.263850247,0.197771248,0.242543056,0.069131752,0.070556277,0.047865048,0.411866754,0.857965521,0.29147707,,
p04_hook_left_main_028,0.206886774,0.434843379,0.28330635,0.221326885,0.172172833,0.24136565,0.06539148,0.065552097,0.047656381,0.33492341,0.814583536,0.265621381,,
p04_hook_left_main_029,0.205115023,0.448162231,0.301501768,0.237630667,0.177595394,0.240829639,0.065583133,0.06631397,0.047634531,0.383692643,0.808342483,0.274313352,,
p04_hook_left_main_030,0.131164851,0.357707362,0.130195025,0.224457781,0.102457551,0.145059116,0.067079138,0.067626729,0.047619491,0.359311207,0.392117849,0.186750883,,
p04_hook_left_post_001,0.236730995,0.414220067,0.293348379,0.263231385,0.181503976,0.226731179,0.066197404,0.06788312,0.04771341,0.376120017,0.820589061,0.275700602,,
p04_hook_left_post_002,0.226173312,0.442192873,0.301408599,0.273762893,0.212225857,0.225532478,0.076017654,0.07429163,0.04802659,0.384808424,0.849650357,0.286558931,,
p04_hook_left_post_003,0.240054689,0.441242758,0.298661633,0.269044024,0.203596997,0.230552351,0.071898683,0.072439964,0.048167977,0.37932445,0.857184059,0.285803027,,
p04_hook_left_post_004,0.21606416,0.429718165,0.295344529,0.231499105,0.193643736,0.162492938,0.070994294,0.068844037,0.047638965,0.318674659,0.787689363,0.258768264,,
p04_hook_left_post_005,0.249846356,0.430016259,0.28681261,0.248665671,0.188772166,0.242784936,0.066253415,0.06549444,0.047662408,0.378778602,0.837177425,0.279073258,,
p04_hook_left_post_006,0.237766976,0.421849193,0.286361837,0.253651822,0.181624321,0.234434237,0.065567321,0.064924939,0.047676972,0.373260673,0.824090993,0.27510418,,
p04_hook_left_post_007,0.220150364,0.457037164,0.28574825,0.269770173,0.208998356,0.22653144,0.070886578,0.074061314,0.047693965,0.370798374,0.853351624,0.283358371,,
p04_hook_left_post_008,0.206979371,0.478264495,0.298698843,0.274977514,0.225303118,0.249279168,0.075510213,0.074058272,0.047730542,0.400827664,0.87811309,0.295247956,,
p04_hook_left_post_009,0.215503934,0.464562318,0.306172414,0.273612062,0.216205155,0.233919296,0.073100469,0.074724989,0.048029936,0.394988679,0.864858195,0.291140454,,
p04_hook_left_post_010,0.208107807,0.46146584,0.29539281,0.271422124,0.229108096,0.22838706,0.074870379,0.074592203,0.047716173,0.396403472,0.850476181,0.288811682,,
p04_hook_left_pre_001,0.243647616,0.410280134,0.30670061,0.241311802,0.190820243,0.159434094,0.070843309,0.069674607,0.047638074,0.35789,0.766995404,0.262608279,,
p04_hook_left_pre_002,0.239636004,0.422769185,0.299820296,0.262803068,0.212119921,0.230355309,0.074370013,0.075331771,0.047677693,0.383410332,0.841679687,0.284493899,,
p04_hook_left_pre_003,0.26555814,0.406337937,0.304437125,0.266993567,0.156230484,0.183728587,0.065078617,0.066610149,0.04762156,0.420987424,0.737937303,0.267647011,,
p04_hook_left_pre_004,0.22005291,0.401226481,0.31177018,0.250315324,0.176506255,0.140967384,0.070229371,0.069740169,0.047632642,0.358564437,0.733488064,0.255930937,,
p04_hook_left_pre_005,0.23659647,0.410245075,0.319266263,0.229376704,0.183401002,0.152100195,0.068480639,0.067410958,0.047635207,0.331005038,0.782246843,0.259355737,,
p04_hook_left_pre_006,0.211714001,0.364278784,0.312547594,0.267042737,0.135066968,0.159479374,0.065468248,0.06661579,0.047619943,0.406752257,0.665426184,0.250376485,,
p04_hook_left_pre_007,0.250732516,0.411439501,0.344433314,0.268039081,0.16521976,0.199698176,0.065928103,0.065496543,0.047625224,0.425085687,0.792971107,0.279421333,,
p04_hook_left_pre_008,0.225920443,0.411469969,0.329443449,0.234330457,0.196949137,0.174637509,0.070930345,0.070291418,0.047641908,0.340670975,0.810772795,0.268061488,,
p04_hook_left_pre_009,0.224814479,0.42641867,0.306850942,0.25497781,0.213304482,0.226568391,0.07623405,0.078485306,0.047746815,0.355691167,0.854832083,0.282597884,,
p04_hook_left_pre_010,0.232924169,0.425975203,0.32198725,0.256968505,0.20134694,0.214423972,0.073984472,0.075236965,0.04768178,0.385871394,0.828421509,0.282239224,,
AVG,0.221545736,0.437459692,0.286025995,0.255483201,0.18713838,0.218941973,0.06957796,0.069815111,0.047722243,0.374957561,0.802978345,0.273010244,,
